From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
Q96Q11	Q96Q11	TRNT1_HUMAN	CCA tRNA nucleotidyltransferase 1, mitochondrial (EC 2.7.7.72) (Mitochondrial tRNA nucleotidyl transferase, CCA-adding) (mt CCA-adding enzyme) (mt tRNA CCA-diphosphorylase) (mt tRNA CCA-pyrophosphorylase) (mt tRNA adenylyltransferase)	TRNT1 CGI-47	mitochondrial tRNA 3'-end processing [GO:1990180]; tRNA 3'-end processing [GO:0042780]; tRNA 3'-terminal CCA addition [GO:0001680]; tRNA processing [GO:0008033]
Q92608	Q92608	DOCK2_HUMAN	Dedicator of cytokinesis protein 2	DOCK2 KIAA0209	actin cytoskeleton organization [GO:0030036]; alpha-beta T cell proliferation [GO:0046633]; cell migration [GO:0016477]; chemotaxis [GO:0006935]; establishment of T cell polarity [GO:0001768]; immunological synapse formation [GO:0001771]; macropinocytosis [GO:0044351]; membrane raft polarization [GO:0001766]; myeloid dendritic cell activation involved in immune response [GO:0002277]; myoblast fusion [GO:0007520]; negative thymic T cell selection [GO:0045060]; positive regulation of phagocytosis [GO:0050766]; positive thymic T cell selection [GO:0045059]; regulation of small GTPase mediated signal transduction [GO:0051056]; small GTPase mediated signal transduction [GO:0007264]
Q12959	Q12959	DLG1_HUMAN	Disks large homolog 1 (Synapse-associated protein 97) (SAP-97) (SAP97) (hDlg)	DLG1	actin filament organization [GO:0007015]; actin filament polymerization [GO:0030041]; activation of protein kinase activity [GO:0032147]; amyloid precursor protein metabolic process [GO:0042982]; astral microtubule organization [GO:0030953]; bicellular tight junction assembly [GO:0070830]; branching involved in ureteric bud morphogenesis [GO:0001658]; cell-cell adhesion [GO:0098609]; chemical synaptic transmission [GO:0007268]; cortical actin cytoskeleton organization [GO:0030866]; cortical microtubule organization [GO:0043622]; embryonic skeletal system morphogenesis [GO:0048704]; endothelial cell proliferation [GO:0001935]; establishment of centrosome localization [GO:0051660]; establishment or maintenance of cell polarity [GO:0007163]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; hard palate development [GO:0060022]; immunological synapse formation [GO:0001771]; lens development in camera-type eye [GO:0002088]; membrane raft organization [GO:0031579]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of p38MAPK cascade [GO:1903753]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0099645]; peristalsis [GO:0030432]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of potassium ion transport [GO:0043268]; positive regulation of protein localization to plasma membrane [GO:1903078]; protein kinase B signaling [GO:0043491]; protein localization to plasma membrane [GO:0072659]; protein-containing complex localization [GO:0031503]; receptor clustering [GO:0043113]; receptor localization to synapse [GO:0097120]; regulation of cell shape [GO:0008360]; regulation of membrane potential [GO:0042391]; regulation of myelination [GO:0031641]; regulation of potassium ion export across plasma membrane [GO:1903764]; regulation of potassium ion import [GO:1903286]; regulation of protein localization to synapse [GO:1902473]; regulation of sodium ion transmembrane transport [GO:1902305]; regulation of ventricular cardiac muscle cell action potential [GO:0098911]; regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization [GO:1903760]; reproductive structure development [GO:0048608]; smooth muscle tissue development [GO:0048745]; T cell proliferation [GO:0042098]
Q9BVC6	Q9BVC6	TM109_HUMAN	Transmembrane protein 109 (Mitsugumin-23) (Mg23)	TMEM109	cellular response to gamma radiation [GO:0071480]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; negative regulation of cell death [GO:0060548]; regulation of ion transmembrane transport [GO:0034765]
Q15388	Q15388	TOM20_HUMAN	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	TOMM20 KIAA0016	protein import into mitochondrial matrix [GO:0030150]; protein insertion into mitochondrial outer membrane [GO:0045040]; protein targeting to mitochondrion [GO:0006626]; tRNA import into mitochondrion [GO:0016031]
Q6FI81	Q6FI81	CPIN1_HUMAN	Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog)	CIAPIN1 CUA001 PRO0915	apoptotic process [GO:0006915]; hemopoiesis [GO:0030097]; iron-sulfur cluster assembly [GO:0016226]; negative regulation of apoptotic process [GO:0043066]; sequestering of metal ion [GO:0051238]
Q9Y3C1	Q9Y3C1	NOP16_HUMAN	Nucleolar protein 16 (HBV pre-S2 trans-regulated protein 3)	NOP16 CGI-117 HSPC111	ribosomal large subunit biogenesis [GO:0042273]
Q09161	Q09161	NCBP1_HUMAN	Nuclear cap-binding protein subunit 1 (80 kDa nuclear cap-binding protein) (CBP80) (NCBP 80 kDa subunit)	NCBP1 CBP80 NCBP	7-methylguanosine mRNA capping [GO:0006370]; alternative mRNA splicing, via spliceosome [GO:0000380]; cap-dependent translational initiation [GO:0002191]; defense response to virus [GO:0051607]; histone mRNA metabolic process [GO:0008334]; miRNA-mediated gene silencing [GO:0035195]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transcription by RNA polymerase II [GO:0042789]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of cell growth [GO:0030307]; positive regulation of mRNA 3'-end processing [GO:0031442]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901409]; positive regulation of RNA binding [GO:1905216]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; primary miRNA processing [GO:0031053]; regulation of mRNA processing [GO:0050684]; regulation of translational initiation [GO:0006446]; RNA catabolic process [GO:0006401]; RNA splicing [GO:0008380]; snRNA export from nucleus [GO:0006408]; spliceosomal complex assembly [GO:0000245]
Q8NBU5	Q8NBU5	ATAD1_HUMAN	Outer mitochondrial transmembrane helix translocase (EC 7.4.2.-) (ATPase family AAA domain-containing protein 1) (hATAD1) (Thorase)	ATAD1 FNP001	extraction of mislocalized protein from mitochondrial outer membrane [GO:0140570]; learning [GO:0007612]; memory [GO:0007613]; negative regulation of synaptic transmission, glutamatergic [GO:0051967]; positive regulation of receptor internalization [GO:0002092]; regulation of postsynaptic neurotransmitter receptor internalization [GO:0099149]
P62072	P62072	TIM10_HUMAN	Mitochondrial import inner membrane translocase subunit Tim10	TIMM10 TIM10	protein insertion into mitochondrial inner membrane [GO:0045039]; protein targeting to mitochondrion [GO:0006626]; sensory perception of sound [GO:0007605]
Q7Z434	Q7Z434	MAVS_HUMAN	Mitochondrial antiviral-signaling protein (MAVS) (CARD adapter inducing interferon beta) (Cardif) (Interferon beta promoter stimulator protein 1) (IPS-1) (Putative NF-kappa-B-activating protein 031N) (Virus-induced-signaling adapter) (VISA)	MAVS IPS1 KIAA1271 VISA	activation of innate immune response [GO:0002218]; cellular response to exogenous dsRNA [GO:0071360]; defense response to bacterium [GO:0042742]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; negative regulation of viral genome replication [GO:0045071]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of IP-10 production [GO:0071660]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of response to cytokine stimulus [GO:0060760]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; regulation of peroxisome organization [GO:1900063]; signal transduction [GO:0007165]; type I interferon signaling pathway [GO:0060337]
P31483	P31483	TIA1_HUMAN	Cytotoxic granule associated RNA binding protein TIA1 (Nucleolysin TIA-1 isoform p40) (RNA-binding protein TIA-1) (T-cell-restricted intracellular antigen-1) (TIA-1) (p40-TIA-1)	TIA1	apoptotic process [GO:0006915]; mRNA processing [GO:0006397]; negative regulation of cytokine production [GO:0001818]; negative regulation of translation [GO:0017148]; protein localization to cytoplasmic stress granule [GO:1903608]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of mRNA splicing, via spliceosome [GO:0048024]; RNA splicing [GO:0008380]; stress granule assembly [GO:0034063]
Q9Y305	Q9Y305	ACOT9_HUMAN	Acyl-coenzyme A thioesterase 9, mitochondrial (Acyl-CoA thioesterase 9) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 9)	ACOT9 CGI-16	acyl-CoA metabolic process [GO:0006637]
P23634	P23634	AT2B4_HUMAN	Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4)	ATP2B4 ATP2B2 MXRA1	calcium ion export [GO:1901660]; calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; cellular calcium ion homeostasis [GO:0006874]; cellular response to acetylcholine [GO:1905145]; cellular response to epinephrine stimulus [GO:0071872]; flagellated sperm motility [GO:0030317]; hippocampus development [GO:0021766]; ion transmembrane transport [GO:0034220]; negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process [GO:0140199]; negative regulation of angiogenesis [GO:0016525]; negative regulation of arginine catabolic process [GO:1900082]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of cardiac muscle hypertrophy in response to stress [GO:1903243]; negative regulation of cellular response to vascular endothelial growth factor stimulus [GO:1902548]; negative regulation of citrulline biosynthetic process [GO:1903249]; negative regulation of gene expression [GO:0010629]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of nitric oxide mediated signal transduction [GO:0010751]; negative regulation of nitric-oxide synthase activity [GO:0051001]; negative regulation of peptidyl-cysteine S-nitrosylation [GO:1902083]; negative regulation of the force of heart contraction [GO:0098736]; neural retina development [GO:0003407]; positive regulation of cAMP-dependent protein kinase activity [GO:2000481]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein localization to plasma membrane [GO:1903078]; regulation of cardiac conduction [GO:1903779]; regulation of cell cycle G1/S phase transition [GO:1902806]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of sodium ion transmembrane transport [GO:1902305]; regulation of transcription by RNA polymerase II [GO:0006357]; response to hydrostatic pressure [GO:0051599]; spermatogenesis [GO:0007283]; transport across blood-brain barrier [GO:0150104]; urinary bladder smooth muscle contraction [GO:0014832]
Q96RQ3	Q96RQ3	MCCA_HUMAN	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	MCCC1 MCCA	biotin metabolic process [GO:0006768]; branched-chain amino acid catabolic process [GO:0009083]; leucine catabolic process [GO:0006552]
Q9NPJ3	Q9NPJ3	ACO13_HUMAN	Acyl-coenzyme A thioesterase 13 (Acyl-CoA thioesterase 13) (EC 3.1.2.-) (Hotdog-fold thioesterase superfamily member 2) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Thioesterase superfamily member 2) (THEM2) [Cleaved into: Acyl-coenzyme A thioesterase 13, N-terminally processed]	ACOT13 THEM2 HT012 PNAS-27	lipid metabolic process [GO:0006629]; negative regulation of cold-induced thermogenesis [GO:0120163]; protein homotetramerization [GO:0051289]
Q9NRP0	Q9NRP0	OSTC_HUMAN	Oligosaccharyltransferase complex subunit OSTC (Hydrophobic protein HSF-28)	OSTC DC2 HDCMD45P HSPC307	protein N-linked glycosylation [GO:0006487]; protein N-linked glycosylation via asparagine [GO:0018279]
Q9NR46	Q9NR46	SHLB2_HUMAN	Endophilin-B2 (SH3 domain-containing GRB2-like protein B2)	SH3GLB2 KIAA1848 PP578	membrane organization [GO:0061024]
P42025	P42025	ACTY_HUMAN	Beta-centractin (Actin-related protein 1B) (ARP1B)	ACTR1B CTRN2	
P51159	P51159	RB27A_HUMAN	Ras-related protein Rab-27A (Rab-27) (EC 3.6.5.2) (GTP-binding protein Ram)	RAB27A RAB27	antigen processing and presentation [GO:0019882]; blood coagulation [GO:0007596]; complement-dependent cytotoxicity [GO:0097278]; cytotoxic T cell degranulation [GO:0043316]; exocytosis [GO:0006887]; exosomal secretion [GO:1990182]; melanocyte differentiation [GO:0030318]; melanosome localization [GO:0032400]; melanosome transport [GO:0032402]; multivesicular body organization [GO:0036257]; multivesicular body sorting pathway [GO:0071985]; natural killer cell degranulation [GO:0043320]; positive regulation of constitutive secretory pathway [GO:1903435]; positive regulation of exocytosis [GO:0045921]; positive regulation of gene expression [GO:0010628]; positive regulation of phagocytosis [GO:0050766]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of regulated secretory pathway [GO:1903307]; synaptic vesicle transport [GO:0048489]; vesicle-mediated transport [GO:0016192]
P49903	P49903	SPS1_HUMAN	Selenide, water dikinase 1 (EC 2.7.9.3) (Selenium donor protein 1) (Selenophosphate synthase 1)	SEPHS1 SELD SPS SPS1	phosphorylation [GO:0016310]; protein modification process [GO:0036211]; selenocysteine biosynthetic process [GO:0016260]
Q96DA6	Q96DA6	TIM14_HUMAN	Mitochondrial import inner membrane translocase subunit TIM14 (DnaJ homolog subfamily C member 19)	DNAJC19 TIM14 TIMM14	genitalia development [GO:0048806]; intracellular protein transport [GO:0006886]; protein folding [GO:0006457]; protein import into mitochondrial matrix [GO:0030150]; protein targeting to mitochondrion [GO:0006626]; regulation of cardiolipin metabolic process [GO:1900208]; visual perception [GO:0007601]
P28288	P28288	ABCD3_HUMAN	ATP-binding cassette sub-family D member 3 (EC 3.1.2.-) (EC 7.6.2.-) (70 kDa peroxisomal membrane protein) (PMP70)	ABCD3 PMP70 PXMP1	bile acid and bile salt transport [GO:0015721]; bile acid biosynthetic process [GO:0006699]; fatty acid beta-oxidation [GO:0006635]; fatty acid biosynthetic process [GO:0006633]; long-chain fatty acid import into peroxisome [GO:0015910]; peroxisome organization [GO:0007031]; phytanic acid metabolic process [GO:1903512]; response to organic cyclic compound [GO:0014070]; response to xenobiotic stimulus [GO:0009410]; very long-chain fatty acid catabolic process [GO:0042760]; very long-chain fatty acid metabolic process [GO:0000038]
